Windsor Locks,-72.65799713134766,41.926048278808594,census designated place,CT,1.69
Abington,-70.95906829833986,42.11740112304688,census designated place,MA,1.75
Arlington,-71.16435241699219,42.41859817504883,census designated place,MA,1.28
Attleboro,-71.29573822021484,41.93067169189453,city,MA,2.92
Belmont,-71.18013000488281,42.39645004272461,census designated place,MA,1.22
Beverly,-70.84046173095703,42.5577507019043,city,MA,2.19
Boston,-71.06048526680561,42.35355794872116,city,MA,3.92
Brockton,-71.0254898071289,42.08113098144531,city,MA,2.61
Brookline,-71.1424331665039,42.3231315612793,census designated place,MA,1.47
Burlington,-71.20205688476564,42.50310897827147,census designated place,MA,1.93
Cambridge,-71.11869812011719,42.375801086425774,city,MA,1.43
Chelsea,-71.03349304199219,42.39590072631837,city,MA,0.84
Chicopee,-72.5731201171875,42.17589950561523,city,MA,2.7
Danvers,-70.95111083984375,42.57186889648438,census designated place,MA,2.06
Dedham,-71.1792221069336,42.246601104736335,census designated place,MA,1.81
Everett,-71.05464935302734,42.40655136108398,city,MA,1.04
Fall River,-71.10507202148438,41.71459960937499,city,MA,3.25
Fitchburg,-71.8155517578125,42.58924865722656,city,MA,2.98
Framingham,-71.43791961669922,42.30590057373046,census designated place,MA,2.82
Gardner,-71.98622131347656,42.58412933349609,city,MA,2.65
Gloucester,-70.68343353271484,42.6318016052246,city,MA,2.89
Haverhill,-71.08621215820314,42.7843017578125,city,MA,3.24
Holbrook,-71.00708770751953,42.14778137207032,census designated place,MA,1.52
Holyoke,-72.6424331665039,42.21347045898438,city,MA,2.6
Hudson,-71.56403350830078,42.392318725585945,census designated place,MA,1.35
Lawrence,-71.16201782226564,42.69997024536133,city,MA,1.48
Leominster,-71.77216339111328,42.51906967163086,city,MA,3.03
Lexington,-71.2314224243164,42.44564819335938,census designated place,MA,2.29
Longmeadow,-72.57010650634766,42.04774856567383,census designated place,MA,1.7
Lowell,-71.3221435546875,42.638710021972656,city,MA,2.08
Lynn,-70.9625473022461,42.47417068481446,city,MA,1.85
Lynnfield,-71.04032135009766,42.53564834594727,census designated place,MA,1.77
Malden,-71.05843353271486,42.43037033081055,city,MA,1.27
Marblehead,-70.86133575439453,42.50030899047852,census designated place,MA,1.18
Marlborough,-71.54769134521484,42.349899291992195,city,MA,2.58
Maynard,-71.45694732666016,42.42565155029296,census designated place,MA,1.29
Medford,-71.1087417602539,42.42245101928711,city,MA,1.61
Melrose,-71.05909729003906,42.45489883422852,city,MA,1.22
Milford,-71.51553344726562,42.14863967895508,census designated place,MA,1.8
Milton,-71.08316802978516,42.24330902099609,census designated place,MA,2.03
Needham,-71.2409896850586,42.28070068359375,census designated place,MA,1.98
New Bedford,-70.93811798095703,41.661300659179695,city,MA,2.52
Newburyport,-70.88945770263672,42.81483078002929,city,MA,1.63
Newton,-71.20707702636719,42.33156967163086,city,MA,2.38
North Adams,-73.11382293701172,42.68677139282228,city,MA,2.54
Northampton,-72.67514038085938,42.327098846435554,city,MA,3.3
Norwood,-71.19526672363281,42.18526840209961,census designated place,MA,1.82
Peabody,-70.97028350830078,42.53293991088867,city,MA,2.27
Pittsfield,-73.26090240478516,42.45180130004883,city,MA,3.59
Quincy,-71.00701904296875,42.26131057739258,city,MA,2.3
Randolph,-71.05433654785156,42.17515182495117,census designated place,MA,1.77
Reading,-71.10700225830078,42.53577041625977,census designated place,MA,1.78
